code,printed_no,type,ns_angle,fs_angle,max_land,land_dec,status,replacement
FB002,FB002,FLANGE,22 1/2,,"1/16"" MAX",.06,,
FB004,FB004,FLANGE,22.5,22.5,"0-1/16"" MAX LAND",.06,,
FB025,FB025,FLANGE,27 1/2,27 1/2,"0-1/16"" MAX LAND",.06,,
FB050,FB050,FLANGE BEVEL,,25,.06 MAX LAND,.06,,
KB076,WB076,WEB,22 1/2,,"1/16"" MAX",.06,,
KB100,KB100,SINGLE N/S BEVEL,10.0,,"0-1/16"" MAX LAND",.06,,
KB101,KB101,SINGLE N/S BEVEL,12.5,,"0-1/16"" MAX LAND",.06,,
KB102,KB102,SINGLE N/S BEVEL,15,,"0-1/16"" MAX LAND",.06,,
FB052,FB052,FLANGE,22.5,,"0-1/16"" MAX LAND",.06,,
FB053,FB053,FLANGE,27.5 TYP,27.5 TYP,".06"" MAX LAND",.06,,
FB054,FB054,FLANGE,27 1/2,27 1/2,"0-1/16"" MAX LAND",.06,,
FB055,FB055,FLANGE,27.5 TYP,27.5 TYP,".06"" LAND",.06,,
FB056,FB056,FLANGE,27.5 TYP,27.5 TYP,".06"" MAX LAND",.06,,
FB061,FB061,FLANGE,22.5,,,,,
FB062,FB062,FLANGE,22.5,,,,,
FB063,FB063,TAPER WITH DOUBLE BEVEL,22.5,22.5,,,,
FB064,FB064,TAPER WITH DOUBLE BEVEL,30 / 30,30 / 30,0.06 MAX LAND,0.06,,
FB065,FB065,TAPER WITH DOUBLE BEVEL,22.5,22.5,,,,
FB066,FB066,FLANGE BEVEL,22.5 TYP,22.5 TYP,.06 MAX LAND,.06,,
FB067,FB067,TAPER WITH DOUBLE BEVEL,22.5,22.5,,,,
FB068,FB068,TAPER WITH DOUBLE BEVEL,22.5,22.5,,,,
FB069,FB069,FLANGE,22.5,22.5,0-1/16 MAX LAND,.06,,
FB070,FB070,FLANGE TAPER WITH DOUBLE BEVEL,22.5 TYP,22.5 TYP,0.06 MAX LAND,0.06,,
KB066,WB066,WEB,22 1/2,,"1/16"" MAX",.06,,
KB103,KB103,SINGLE N/S BEVEL,17.5,,"0-1/16"" MAX LAND",.06,,
KB104,KB104,SINGLE N/S BEVEL,20,,"0-1/16"" MAX LAND",.06,,
KB105,KB105,SINGLE N/S BEVEL,22.5,,"0-1/16"" MAX LAND",.06,,
KB106,KB106,SINGLE N/S BEVEL,25,,"0-1/16"" MAX LAND",.06,,
KB107,KB107,SINGLE N/S BEVEL,27.5,,"0-1/16"" MAX LAND",.06,,
KB108,KB108,SINGLE N/S BEVEL,30,,"0-1/16"" MAX LAND",.06,,
KB109,KB109,SINGLE N/S BEVEL,32.5,,"0-1/16"" MAX LAND",.06,,
KB110,KB110,SINGLE N/S BEVEL,35,,"0-1/16"" MAX LAND",.06,,
KB111,KB111,SINGLE N/S BEVEL,37.5,,"0-1/16"" MAX LAND",.06,,
KB112,KB112,SINGLE N/S BEVEL,40,,"0-1/16"" MAX LAND",.06,,
KB113,KB113,SINGLE N/S BEVEL,42.5,,"0-1/16"" MAX LAND",.06,,
KB115,KB115,SINGLE N/S BEVEL,30,,,,,
KB116,KB116,SINGLE N/S BEVEL,22.5,,,,,
KB117,KB117,SINGLE N/S BEVEL,22.5,,,,,
KB118,KB118,SINGLE N/S BEVEL,45,,,,,
KB119,KB119,SINGLE N/S BEVEL,67.5,,,,,
KB120,KB120,SINGLE N/S BEVEL,67.5,,,,,
KB121,KB121,SINGLE N/S BEVEL,45,,,,,
KB122,KB122,SINGLE N/S BEVEL,53,,"0-1/16"" MAX LAND",.06,,
KB123,KB123,SINGLE N/S BEVEL,45,,,,,
KB124,KB124,SINGLE N/S BEVEL,22.5,,,,,
KB125,KB125,SINGLE N/S BEVEL,67.5,,,,,
KB126,KB126,SINGLE N/S BEVEL,22.5,,,,,
KB127,KB127,SINGLE N/S BEVEL,22.5,,,,,
KB128,KB128,SINGLE N/S BEVEL,38,,,,,
KB129,KB129,SINGLE N/S BEVEL,63.5,,"0-1/16"" MAX LAND",.06,,
KB114,KB114,SINGLE N/S BEVEL,45,,"0-1/16"" MAX LAND",.06,,
KB130,KB130,SINGLE N/S BEVEL,50,,"0-1/16"" MAX LAND",.06,,
KB131,KB131,SINGLE N/S BEVEL,63,,"0 3/16"" LAND",.19,,
KB132,KB132,SINGLE N/S BEVEL,67.5,,,,,
KB133,KB133,SINGLE N/S BEVEL,22.5,,,,,
KB134,KB134,SINGLE N/S BEVEL,30,,,,,
KB135,KB135,SINGLE N/S BEVEL,22.5,,,,,
KB136,KB136,SINGLE N/S BEVEL,5,,"0-1/16"" MAX LAND",.06,,
KB137,KB137,SINGLE N/S BEVEL,45,,,,,
KB138,KB138,SINGLE N/S BEVEL,40,,,,,
KB139,KB139,SINGLE N/S BEVEL,55,,,,,
KB140,KB140,SINGLE N/S BEVEL,67.5,,,,,
KB141,KB141,SINGLE N/S BEVEL,30,,,,,
KB142,KB142,SINGLE N/S BEVEL,45,,,,,
KB143,KB143,SINGLE N/S BEVEL,50,,,,,
KB144,KB144,SINGLE N/S BEVEL,25,,,,,
KB145,KB145,SINGLE N/S BEVEL,22.5,,,,,
KB146,KB146,SINGLE N/S BEVEL,22.5,,,,,
KB147,KB147,SINGLE N/S BEVEL,22.5,,,,,
KB148,KB148,SINGLE N/S BEVEL,77.5,,,,,
